year,ward,cost,category,program,description,category_street,pct_income_under25,pct_income_25_50,pct_income_50_100,pct_income_100_150,pct_income_over150,pct_white,pct_hispanic,pct_black,pct_asian,plurality
2019,28,$25000,Parks & Recreation,Fencing for Mason Playground,4100 W WEST END AVE,NA,46.4,21.73,21.03,5.57,5.26,14.92,8.19,74.88,4.71,black
2018,47,$21400.76,Streets & Transportation,Street Resurfacing (2018),ON N CAMPBELL AVE FROM W CULLOM AVE (4300 N) TO W PENSACOLA AVE (4330 N),Car,10.93,16.32,29.62,18.22,24.92,85.33,12.23,2.65,5.58,white
2013,4,$31352,Streets & Transportation,Sidewalk Menu,ON S ST LAWRENCE AVE FROM E BOWEN AV (4135 S) TO E 42 ST (4200 S),Pedestrian,34.69,17.76,23.36,11.39,12.8,25.02,4.3,60.88,10.35,black
2018,13,$2005.53,Streets & Transportation,Sidewalk Menu (2018),3817 W 66TH ST,Pedestrian,16.64,25.68,34.07,15.91,7.7,61.67,66.53,2.43,0.42,hispanic
2013,25,$9000,Lighting,Street Light Arterial,(1830 S),NA,27.08,20.27,25.88,12.03,14.74,52.65,48.07,8.27,15.29,white
2021,46,$19587.76,Streets & Transportation,Sidewalk (2021),4600 N MAGNOLIA AVE,Pedestrian,27.39,18.54,27.77,14.4,11.9,67.71,12.88,18.39,7.65,white
2020,3,$150,Streets & Transportation,Miscellaneous CDOT Projects (2020),5402 S INDIANA AVE,Car,33.11,16.03,23.03,13.22,14.61,23.16,4.82,63.03,9.81,black
2012,23,$20403,Streets & Transportation,Sidewalk Menu,ON S MELVINA AVE FROM W 53 ST (5300 S) TO W 54 ST (5400 S),Pedestrian,18.88,25.87,32.15,15.59,7.51,62.46,68.36,2.28,1.61,hispanic
2014,30,$53494,Streets & Transportation,Street Resurfacing Menu,ON N AVERS AVE FROM W SCHOOL ST (3300 N) TO W ROSCOE ST (3400 N),Car,20.36,28.69,30.68,12.32,7.95,68.82,66.64,2,3.14,white
2017,47,$600,Streets & Transportation,"In-Road ""State Law Stop For Pedestrians"" Signs (2017)",W MONTROSE AVE & N BELL AVE,Pedestrian,10.93,16.32,29.62,18.22,24.92,85.33,12.23,2.65,5.58,white
2018,11,$37685.96,Streets & Transportation,Pedestrian Refuge Island Menu (2018),S HALSTED ST & W 28TH ST,Pedestrian,27.46,24,26.41,12.5,9.63,47.3,22.98,6.97,35.6,white
2013,17,$8731,Streets & Transportation,Alley Apron Menu,ON W 77TH ST FROM W TO S MAY ST (1132 W),Car,41.31,30.79,20.74,5.09,2.07,9.5,19.79,75.48,0.29,black
2017,30,$2800,Streets & Transportation,Alley Speed Hump (2017),W WARWICK AVE & N KILPATRICK AVE&W WAVELAND AVE & N CICERO AVE,Pedestrian,20.36,28.69,30.68,12.32,7.95,68.82,66.64,2,3.14,white
2015,18,$51538,Streets & Transportation,Street Resurfacing Menu,ON W 86TH ST FROM S LAWNDALE AVE (3700 W) TO S HAMLIN AVE (3800 W),Car,19.31,22.82,35.66,15.31,6.9,31.36,33.12,47.8,0.61,black
2013,17,$600,Beautification,Street Light Pole Painting,ON W 72ND PL FROM S LOOMIS BV (1400 W) TO S ADA ST (1316 W),NA,41.31,30.79,20.74,5.09,2.07,9.5,19.79,75.48,0.29,black
2022,10,$4700,Streets & Transportation,Street Speed Hump (2022),ON S AVENUE M FROM E 113TH ST (11300 S) TO E 114TH ST (11400 S),Pedestrian,34.32,25.26,27.32,9.13,3.97,66.54,59.49,25.22,0.23,white
2014,17,$55615,Streets & Transportation,Sidewalk Menu,ON W 74TH ST FROM S PARNELL AVE (540 W) TO S NORMAL AVE (500 W),Pedestrian,41.31,30.79,20.74,5.09,2.07,9.5,19.79,75.48,0.29,black
2018,5,$89423.92,Streets & Transportation,Street Resurfacing (2018),ON S HARPER AVE FROM E 56TH ST (5600 S) TO E 57TH ST (5700 S),Car,40.5,18.29,23.67,8.64,8.91,24.77,4.28,62.83,7.82,black
2019,38,$-14253.07,Streets & Transportation,Street Resurfacing (2019),ON N ORIOLE AVE FROM W CORNELIA AVE (3499 N) TO W ADDISON ST (3600 N),Car,19.54,20.31,33.82,16.5,9.84,82.86,24.7,1.55,4.72,white
2013,23,$2043,Streets & Transportation,Curb & Gutter Menu,ON W 58TH ST FROM S MAJOR AV (5700 W) TO S MASSASOIT AV (5731 W),Car,18.88,25.87,32.15,15.59,7.51,62.46,68.36,2.28,1.61,hispanic
2017,46,$905.36,Streets & Transportation,Sidewalk Menu (2017),4170 N MARINE DR,Pedestrian,27.39,18.54,27.77,14.4,11.9,67.71,12.88,18.39,7.65,white
2014,41,$126797,Streets & Transportation,Street Resurfacing Menu,ON N HIAWATHA AVE FROM N LEHIGH AVE (6700 N) TO N LIGHTFOOT AVE (6800 N),Car,17.36,17.73,30.52,16.4,17.99,86.31,14.1,1.16,5.21,white
2018,4,$6644,Streets & Transportation,Left-Turn Arrow Menu (2018),E HYDE PARK BLVD & S LAKE PARK AVE,Car,34.69,17.76,23.36,11.39,12.8,25.02,4.3,60.88,10.35,black
2018,23,$4402.62,Streets & Transportation,Curb & Gutter Menu (2018),5320 S SAYRE AVE,Car,18.88,25.87,32.15,15.59,7.51,62.46,68.36,2.28,1.61,hispanic
