artist,song,line_number,text,stanza,source_url
Aesop Rock,Infinity Fill Goose Down,61,I am always into something,9,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,62,I am always into something,10,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,63,I am always into something,11,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,64,I am always into something,12,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Malibu Ken,Corn Maze,1,I'm the world weekly news bat child,1,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,2,B-lining ash pile to ash pile to ash pile,1,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,3,For every ghost climbing out the flat file,1,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,4,"Every gaffe, every lone spaz in the snack aisle",1,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,5,"Cracked out, don't touch that dial ever",1,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,6,These trap doors forecast quagmire weather,1,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,7,But it's worth it,1,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,8,From cobras out to kiss him on the cheek,1,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,9,To snatching victory from out the jaws of imminent defeat,1,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,10,The phone ping from a pillow fort in a corn maze,1,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,11,I don't have a horse in your war games,1,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,12,I don't even really like horses,1,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,13,I like wild orchids and neighbors with wide orbits,1,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,14,Electric fence and pets that tend to pretty much ignore us,1,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,15,We headbutt in the mornings then report to separate corners,1,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,16,"Criminy, ya killin' me Smalls, the fist balls up",1,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,17,"I pull my hood down, I got some walls up",1,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,18,Walls up,2,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,19,I keep my coat on I got some walls up,2,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,20,"Chips down, walls up",2,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,21,I cut the lights off,2,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,22,Every day I wake up in a gallon of sweat,3,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,23,"Puke blood, hit the shower, turn to Malibu Ken",3,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,24,"While you were asking all your lackeys, ""Are we jackals or men?""",3,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,25,I've been the sorcery authority should catch if they can,3,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,26,Mostly a master of none,3,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,27,"Come try the coffee, it's burnt",3,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,28,He type a chapter it sucks,3,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,29,Top of the moth-eaten world,3,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,30,"Pick a one horse town, four horsemen got his number",3,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,31,I feed each one the others camouflaged in Fluffernutters,3,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,32,The million-dollar free jazz-speak in a secret garden,3,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,33,"Some people think its freakish, but they can't deny the harvest",3,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,34,Its funny when they're later made to celebrate the shit they said was garbage,3,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,35,It only show the city who the mark is,3,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,36,Are we Donatello's David or delicate Frozen Charlottes?,3,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,37,Even Davids know in art there often will be no catharsis,3,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,38,The voices in my head still talk tough,3,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,39,"I go to bed stoned, I got some walls up",3,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,40,Walls up,4,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,41,I keep my coat on I got some walls up,4,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,42,"Chips down, walls up",4,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,43,I cut the lights off,4,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,44,In a lavish rabbit hole with no rabbits,5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,45,"Young, dumb dust-bunnies jump into traffic",5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,46,Casually gussied up and done feeling unsung and savage,5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,47,"Punk, we have come for your cabbage",5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,48,I'm bad news travel like a rat through your cabinet,5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,49,Spaz,5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,50,Twenty paw pads full of scabs,5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,51,"Off in a false ad, fall plaid, all dander",5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,52,"Blast off, black jackdaws on his antlers",5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,53,Zero faithers,5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,54,Wearily fear his neighbors,5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,55,Someday we'll find a way to make these billionaires obey us,5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
Malibu Ken,Corn Maze,56,Someday we'll earn a subdivision gaudier than reprobates,5,https://www.azlyrics.com/lyrics/aesoprock/cornmaze.html
